time,station_id,station_name,latitude,longitude,depth,mass_concentration_of_oxygen_in_sea_water,sample_depth,sea_water_temperature,sea_water_salinity,fractional_saturation_of_oxygen_in_sea_water
UTC,,,degrees_north,degrees_east,m,mg/L,m,degree_C,,percent
2018-06-01T00:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.56,0.034,24.96,1.72,104.5
2018-06-01T00:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.64,0.05,25.38,1.97,106.5
2018-06-01T00:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.6,0.068,25.58,2.13,106.5
2018-06-01T00:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.71,0.084,25.51,2.19,107.7
2018-06-01T01:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.86,0.098,25.43,2.14,109.4
2018-06-01T01:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,10.19,0.119,25.9,3.03,127.5
2018-06-01T01:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,10.84,0.143,26.03,3.74,136.5
2018-06-01T01:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.9,0.162,25.93,3.67,124.4
2018-06-01T02:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,10.65,0.18,25.86,3.48,133.5
2018-06-01T02:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,10.61,0.199,25.89,3.68,133.3
2018-06-01T02:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,10.75,0.219,25.91,3.9,135.2
2018-06-01T02:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,10.42,0.232,26.02,4.26,131.6
2018-06-01T03:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.58,0.245,25.74,4.18,120.3
2018-06-01T03:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.44,0.264,25.51,3.87,117.8
2018-06-01T03:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.44,0.274,25.56,4.22,118.2
2018-06-01T03:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.44,0.282,25.38,3.83,117.6
2018-06-01T04:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.15,0.292,25.82,5.78,116.2
2018-06-01T04:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.66,0.302,25.81,5.48,109.7
2018-06-01T04:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.48,0.309,25.9,6.51,108.3
2018-06-01T04:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.35,0.311,25.91,6.86,106.7
2018-06-01T05:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.14,0.311,25.92,7.83,104.6
2018-06-01T05:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.83,0.307,25.98,8.1,101.0
2018-06-01T05:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.86,0.301,26.02,8.65,101.8
2018-06-01T05:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.07,0.285,24.98,4.26,100.0
2018-06-01T06:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.94,0.267,24.89,3.67,97.9
2018-06-01T06:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.05,0.244,24.55,3.74,86.4
2018-06-01T06:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.67,0.217,24.3,2.44,92.9
2018-06-01T06:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.79,0.198,24.05,1.99,81.7
2018-06-01T07:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.46,0.186,23.95,1.93,77.5
2018-06-01T07:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.38,0.171,23.94,2.05,76.6
2018-06-01T07:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.72,0.157,24.0,2.08,80.8
2018-06-01T07:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.55,0.142,23.79,1.93,78.4
2018-06-01T08:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.35,0.128,23.58,1.53,75.5
2018-06-01T08:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.34,0.112,23.64,1.69,75.5
2018-06-01T08:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.4,0.093,23.59,1.58,76.1
2018-06-01T08:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.17,0.082,23.52,1.68,73.3
2018-06-01T09:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.03,0.07,23.49,1.7,71.7
2018-06-01T09:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.46,0.058,23.45,1.57,76.6
2018-06-01T09:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.82,0.048,23.42,1.5,80.8
2018-06-01T09:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.57,0.034,23.41,1.51,77.9
2018-06-01T10:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.26,0.025,23.12,1.36,73.7
2018-06-01T10:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.64,0.015,23.25,1.45,78.4
2018-06-01T10:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.59,0.005,23.11,1.36,77.6
2018-06-01T10:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.82,NaN,23.11,1.39,80.3
2018-06-01T11:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.76,NaN,23.0,1.33,79.4
2018-06-01T11:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.22,NaN,22.67,1.07,72.5
2018-06-01T11:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.44,NaN,22.76,1.11,75.3
2018-06-01T11:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.33,NaN,22.58,1.05,73.6
2018-06-01T12:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.02,NaN,22.49,0.98,69.9
2018-06-01T12:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.13,NaN,22.54,0.92,71.2
2018-06-01T12:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.26,NaN,22.69,0.97,72.9
2018-06-01T12:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.06,NaN,22.46,0.51,70.1
2018-06-01T13:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.48,0.023,23.87,1.87,89.6
2018-06-01T13:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.58,0.039,24.1,3.31,104.0
2018-06-01T13:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.72,0.059,25.29,5.19,84.2
2018-06-01T13:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.56,0.083,25.88,8.3,84.5
2018-06-01T14:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.36,0.1,26.05,8.95,69.6
2018-06-01T14:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.47,0.108,26.14,9.64,84.4
2018-06-01T14:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.66,0.115,26.23,7.74,86.1
2018-06-01T14:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.49,0.135,26.46,10.48,98.8
2018-06-01T15:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.67,0.152,26.66,10.97,101.7
2018-06-01T15:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.14,0.163,26.7,10.81,94.7
2018-06-01T15:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.81,0.168,26.56,8.02,114.7
2018-06-01T15:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,12.09,0.174,26.16,4.16,152.9
2018-06-01T16:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,17.01,0.183,26.14,4.75,215.8
2018-06-01T16:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,18.77,0.181,26.08,4.73,238.0
2018-06-01T16:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,14.99,0.178,26.2,5.67,191.5
2018-06-01T16:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,13.94,0.185,26.4,6.28,179.3
2018-06-01T17:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,12.23,0.19,27.6,7.65,161.9
2018-06-01T17:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,13.86,0.18,27.21,6.61,181.2
2018-06-01T17:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,14.66,0.173,26.39,4.98,187.1
2018-06-01T17:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,13.43,0.157,26.21,7.21,173.0
2018-06-01T18:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.96,0.141,25.27,2.46,122.8
2018-06-01T18:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.78,0.123,24.51,2.73,106.9
2018-06-01T18:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.39,0.108,24.56,1.94,101.9
2018-06-01T18:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.94,0.088,24.75,1.72,108.7
2018-06-01T19:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.14,0.076,24.52,2.18,98.8
2018-06-01T19:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.73,0.057,24.39,2.4,93.8
2018-06-01T19:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.75,0.048,25.01,2.49,119.7
2018-06-01T19:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.25,0.035,24.47,1.79,99.9
2018-06-01T20:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.87,0.008,24.15,1.63,94.6
2018-06-01T20:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.69,NaN,24.75,1.68,117.9
2018-06-01T20:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.51,NaN,25.31,1.95,104.7
2018-06-01T20:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.01,NaN,24.65,1.69,97.2
2018-06-01T21:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.94,NaN,24.74,3.11,97.3
2018-06-01T21:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.82,NaN,24.84,1.44,107.3
2018-06-01T21:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.69,NaN,24.36,1.56,104.8
2018-06-01T21:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.74,NaN,25.04,3.4,108.0
2018-06-01T22:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.43,NaN,24.4,1.11,89.4
2018-06-01T22:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.15,NaN,24.75,2.83,99.7
2018-06-01T22:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.23,NaN,24.41,1.34,87.2
2018-06-01T22:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.99,NaN,24.43,1.31,96.4
2018-06-01T23:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.37,NaN,24.55,1.7,89.3
2018-06-01T23:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.93,NaN,25.17,3.47,110.5
2018-06-01T23:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,11.54,NaN,25.45,2.99,143.3
2018-06-01T23:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.4,NaN,25.03,2.19,103.0
2018-06-02T00:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.53,NaN,25.61,2.65,105.9
2018-06-02T00:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.05,NaN,26.29,2.95,114.1
2018-06-02T00:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.45,NaN,26.02,2.98,118.5
2018-06-02T00:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.18,NaN,26.23,3.15,115.6
2018-06-02T01:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.58,0.006,26.17,4.25,121.3
2018-06-02T01:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.82,0.025,26.45,4.3,124.9
2018-06-02T01:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,12.07,0.045,27.1,5.57,156.6
2018-06-02T01:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,12.34,0.066,27.27,6.12,161.0
2018-06-02T02:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,11.95,0.084,27.21,6.45,156.0
2018-06-02T02:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,10.46,0.105,27.56,7.47,138.3
2018-06-02T02:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.81,0.12,27.63,7.91,130.1
2018-06-02T02:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.39,0.135,27.66,7.43,124.2
2018-06-02T03:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.24,0.152,27.58,8.47,122.8
2018-06-02T03:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.07,0.167,27.6,9.19,121.1
2018-06-02T03:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.58,0.184,27.57,9.72,114.9
2018-06-02T03:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.78,0.199,27.61,10.01,117.7
2018-06-02T04:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.89,0.213,27.66,10.04,119.4
2018-06-02T04:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.54,0.227,27.67,10.19,114.8
2018-06-02T04:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.1,0.24,27.63,10.39,109.0
2018-06-02T04:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.07,0.245,27.65,10.4,108.6
2018-06-02T05:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.73,0.247,27.64,10.56,104.1
2018-06-02T05:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.04,0.254,27.59,10.8,94.8
2018-06-02T05:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.71,0.258,27.6,10.84,90.4
2018-06-02T05:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.96,0.254,27.5,10.64,93.5
2018-06-02T06:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.94,0.251,27.56,10.79,93.4
2018-06-02T06:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.34,0.25,27.63,10.89,99.0
2018-06-02T06:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.04,0.233,26.85,8.08,105.3
2018-06-02T06:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.51,0.207,26.61,6.86,110.2
2018-06-02T07:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.78,0.188,26.72,7.28,101.2
2018-06-02T07:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.86,0.173,26.23,6.03,87.8
2018-06-02T07:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.39,0.158,25.51,4.93,80.3
2018-06-02T07:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.03,0.141,25.18,3.78,74.8
2018-06-02T08:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.53,0.126,25.25,4.47,68.9
2018-06-02T08:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.41,0.115,24.85,3.46,66.5
2018-06-02T08:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.84,0.108,24.81,3.18,71.7
2018-06-02T08:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.32,0.08,25.78,5.33,80.0
2018-06-02T09:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.79,0.062,24.67,2.92,70.8
2018-06-02T09:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.26,0.05,24.55,2.84,64.1
2018-06-02T09:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.49,0.036,24.44,2.45,66.7
2018-06-02T09:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.34,0.021,24.33,2.24,64.7
2018-06-02T10:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.63,0.009,24.32,2.42,68.2
2018-06-02T10:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.26,NaN,24.05,2.14,63.3
2018-06-02T10:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.53,NaN,24.14,2.33,66.7
2018-06-02T10:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.77,NaN,24.16,2.41,69.6
2018-06-02T11:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.77,NaN,24.08,2.57,69.6
2018-06-02T11:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.49,NaN,23.9,2.13,65.8
2018-06-02T11:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.95,NaN,24.02,2.28,71.6
2018-06-02T11:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.23,NaN,24.04,2.31,75.0
2018-06-02T12:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.55,NaN,23.63,1.64,66.0
2018-06-02T12:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.36,NaN,23.5,1.4,63.6
2018-06-02T12:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.52,NaN,23.75,1.63,65.8
2018-06-02T12:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.64,NaN,24.07,1.99,67.8
2018-06-02T13:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.63,NaN,24.11,1.84,67.7
2018-06-02T13:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.09,NaN,24.67,1.66,86.0
2018-06-02T13:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.35,NaN,26.78,7.57,82.8
2018-06-02T13:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.48,NaN,26.24,4.09,82.1
2018-06-02T14:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.16,0.018,27.16,8.19,94.3
2018-06-02T14:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.84,0.04,27.65,5.29,102.5
2018-06-02T14:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.96,0.054,27.22,5.97,129.7
2018-06-02T14:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.98,0.063,27.19,6.98,130.7
2018-06-02T15:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.97,0.074,27.19,6.94,117.4
2018-06-02T15:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.64,0.081,27.38,7.71,114.0
2018-06-02T15:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.4,0.102,27.65,8.12,98.3
2018-06-02T15:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,10.24,0.116,27.68,7.35,135.5
2018-06-02T16:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.0,0.113,27.62,7.26,118.9
2018-06-02T16:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,10.17,0.127,27.73,8.04,135.2
2018-06-02T16:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,10.67,0.131,27.6,7.66,141.3
2018-06-02T16:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,14.84,0.131,27.74,6.74,195.9
2018-06-02T17:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,13.9,0.136,27.89,8.3,185.6
2018-06-02T17:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,14.24,0.14,27.89,8.87,190.7
2018-06-02T17:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,15.9,0.136,27.96,8.94,213.3
2018-06-02T17:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,12.78,0.129,27.52,8.57,169.8
2018-06-02T18:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,10.77,0.121,27.39,9.17,143.3
2018-06-02T18:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,15.1,0.105,27.36,8.63,200.1
2018-06-02T18:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.56,0.079,26.67,6.23,123.5
2018-06-02T18:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.76,0.07,26.54,6.39,125.9
2018-06-02T19:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.49,0.058,25.32,4.12,93.3
2018-06-02T19:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,9.26,0.051,24.75,2.95,113.5
2018-06-02T19:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.76,0.033,24.4,2.91,94.5
2018-06-02T19:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.25,0.022,24.91,4.1,102.0
2018-06-02T20:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.37,0.009,24.28,2.53,89.3
2018-06-02T20:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,10.06,NaN,25.41,3.55,125.2
2018-06-02T20:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.22,NaN,24.44,2.83,87.9
2018-06-02T20:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.1,NaN,23.15,1.85,72.0
2018-06-02T21:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.4,NaN,23.57,2.18,76.3
2018-06-02T21:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.19,NaN,24.05,3.25,75.0
2018-06-02T21:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,10.17,NaN,24.98,2.77,125.0
2018-06-02T21:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,8.15,NaN,24.28,2.4,98.6
2018-06-02T22:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.2,NaN,23.79,2.04,86.1
2018-06-02T22:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.11,NaN,23.91,1.96,85.2
2018-06-02T22:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.38,NaN,23.84,1.77,88.3
2018-06-02T22:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.2,NaN,23.76,1.69,85.9
2018-06-02T23:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.52,NaN,23.63,1.42,77.5
2018-06-02T23:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.7,NaN,23.86,1.81,80.2
2018-06-02T23:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.45,NaN,24.44,2.36,78.3
2018-06-02T23:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.74,NaN,23.78,2.02,80.6
2018-06-03T00:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.37,NaN,23.59,1.37,75.7
2018-06-03T00:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.56,NaN,24.08,1.94,79.0
2018-06-03T00:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.64,NaN,23.95,1.83,79.6
2018-06-03T00:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.14,NaN,24.61,2.76,87.2
2018-06-03T01:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.74,NaN,25.26,3.31,95.9
2018-06-03T01:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,7.88,NaN,25.88,4.75,99.6
2018-06-03T01:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.52,NaN,26.14,6.11,83.4
2018-06-03T01:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.35,0.009,26.13,6.27,81.2
2018-06-03T02:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.79,0.028,26.15,6.24,86.9
2018-06-03T02:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.68,0.056,26.67,7.99,87.1
2018-06-03T02:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.15,0.075,26.66,7.05,79.8
2018-06-03T02:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.39,0.089,26.61,7.5,83.0
2018-06-03T03:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.79,0.106,26.98,9.04,76.4
2018-06-03T03:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,4.04,0.122,27.0,9.75,53.6
2018-06-03T03:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.31,0.139,27.0,9.35,70.2
2018-06-03T03:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.64,0.154,27.03,9.42,74.6
2018-06-03T04:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.59,0.162,27.23,9.99,87.8
2018-06-03T04:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,4.96,0.176,27.32,10.76,66.4
2018-06-03T04:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,4.18,0.195,27.6,12.14,56.8
2018-06-03T04:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,4.39,0.219,27.53,12.22,59.6
2018-06-03T05:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.71,0.231,27.4,11.21,76.8
2018-06-03T05:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.98,0.239,27.45,11.42,94.1
2018-06-03T05:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.32,0.247,27.42,11.51,85.3
2018-06-03T05:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.05,0.255,27.27,11.96,81.6
2018-06-03T06:00:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,6.52,0.273,27.04,10.49,86.8
2018-06-03T06:15:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,4.58,0.282,26.49,8.73,59.8
2018-06-03T06:30:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,4.71,0.278,26.25,7.48,60.8
2018-06-03T06:45:00Z,GYK,Greys_Creek,38.44901667,-75.13245,0.3,5.0,0.273,26.37,8.62,65.1
